[[[242.0, 238.0]], [[385.0, 189.0]]]
[[[242.0276641845703, 236.99400329589844]], [[385.50701904296875, 191.44288635253906]]]
[[[242.0494842529297, 237.04257202148438]], [[385.4927062988281, 191.41864013671875]]]
[[[241.23666381835938, 235.7931671142578]], [[385.9218444824219, 189.08700561523438]]]
[[[241.96554565429688, 237.40602111816406]], [[385.28118896484375, 189.03082275390625]]]
[[[242.2078857421875, 237.353271484375]], [[385.2821350097656, 189.03138732910156]]]
[[[243.40606689453125, 238.43829345703125]], [[383.9228210449219, 192.1798858642578]]]
[[[246.00120544433594, 241.33387756347656]], [[383.78546142578125, 191.10279846191406]]]
[[[245.9623565673828, 241.32115173339844]], [[383.775390625, 191.08267211914062]]]
[[[247.58897399902344, 244.2867889404297]], [[384.39727783203125, 191.64297485351562]]]
[[[248.14915466308594, 242.2424774169922]], [[384.5068664550781, 190.27316284179688]]]
[[[248.15084838867188, 242.23965454101562]], [[384.4945983886719, 190.25048828125]]]
[[[246.72972106933594, 235.50296020507812]], [[384.4918518066406, 190.06423950195312]]]
[[[246.0242156982422, 235.4664764404297]], [[384.9261169433594, 188.8157196044922]]]
[[[245.98590087890625, 235.47030639648438]], [[384.9175109863281, 188.80950927734375]]]
[[[245.912109375, 237.1629180908203]], [[383.54815673828125, 190.62551879882812]]]
[[[245.02566528320312, 237.16688537597656]], [[383.34527587890625, 188.9329376220703]]]
[[[244.89031982421875, 237.1090850830078]], [[383.3449401855469, 188.93264770507812]]]
[[[244.68301391601562, 236.19349670410156]], [[383.230712890625, 189.62567138671875]]]
[[[245.48435974121094, 234.28341674804688]], [[382.7467041015625, 190.05404663085938]]]
[[[245.48980712890625, 234.28872680664062]], [[382.79571533203125, 190.13424682617188]]]
[[[247.25637817382812, 236.67320251464844]], [[379.3215026855469, 194.65516662597656]]]
[[[247.68739318847656, 235.5570068359375]], [[377.4510192871094, 194.68186950683594]]]
[[[247.7338409423828, 235.53256225585938]], [[377.486328125, 194.713623046875]]]
[[[248.2279815673828, 236.82154846191406]], [[376.4216613769531, 194.93325805664062]]]
[[[248.14015197753906, 235.37393188476562]], [[377.3785400390625, 194.2271728515625]]]
[[[248.1414031982422, 235.44117736816406]], [[377.3775939941406, 194.2269287109375]]]
[[[248.19671630859375, 234.68434143066406]], [[379.2651672363281, 186.65985107421875]]]
[[[249.8790283203125, 235.74342346191406]], [[377.97216796875, 187.6597900390625]]]
[[[249.89476013183594, 235.74795532226562]], [[377.943359375, 187.65687561035156]]]
[[[250.77870178222656, 236.58143615722656]], [[377.7897644042969, 188.65846252441406]]]
[[[251.048583984375, 236.98582458496094]], [[376.9033203125, 192.7172088623047]]]
[[[251.09593200683594, 237.034423828125]], [[376.9314880371094, 192.71160888671875]]]
[[[251.55271911621094, 236.6313934326172]], [[375.2026062011719, 193.3008575439453]]]
[[[251.48497009277344, 235.6343231201172]], [[374.4440002441406, 194.81961059570312]]]
[[[251.64894104003906, 235.69619750976562]], [[374.44073486328125, 194.81948852539062]]]
[[[250.9781494140625, 233.51148986816406]], [[374.1789245605469, 193.36477661132812]]]
[[[251.24713134765625, 235.62103271484375]], [[374.09814453125, 194.4176025390625]]]
[[[251.29708862304688, 235.6180877685547]], [[373.96466064453125, 194.35606384277344]]]
[[[251.67572021484375, 235.89564514160156]], [[373.7663269042969, 194.4141387939453]]]
[[[252.59547424316406, 238.43386840820312]], [[373.4254150390625, 191.26869201660156]]]
[[[252.62240600585938, 238.42178344726562]], [[373.4313049316406, 191.2720947265625]]]
[[[253.4729461669922, 242.1792449951172]], [[373.04913330078125, 194.9166259765625]]]
[[[253.57363891601562, 241.1688995361328]], [[372.00762939453125, 194.94088745117188]]]
[[[253.5397491455078, 241.1686553955078]], [[371.9952697753906, 194.91795349121094]]]
[[[254.0952911376953, 241.16505432128906]], [[370.9096984863281, 196.95223999023438]]]
[[[253.27944946289062, 242.36485290527344]], [[369.93426513671875, 196.78587341308594]]]
[[[253.2337188720703, 242.36314392089844]], [[369.8993225097656, 196.75833129882812]]]
[[[253.63946533203125, 245.3533477783203]], [[369.8328552246094, 198.1837615966797]]]
[[[253.89236450195312, 245.4249267578125]], [[369.54339599609375, 198.1293487548828]]]
[[[253.92709350585938, 245.43919372558594]], [[369.56610107421875, 198.13446044921875]]]
[[[253.60797119140625, 242.0520782470703]], [[369.7570495605469, 196.4339141845703]]]
[[[253.83351135253906, 242.43287658691406]], [[370.55126953125, 195.92730712890625]]]
[[[253.83236694335938, 242.42967224121094]], [[370.55047607421875, 195.92713928222656]]]
[[[254.8023681640625, 245.14385986328125]], [[369.5757141113281, 192.61488342285156]]]
[[[255.177734375, 244.65652465820312]], [[369.4150390625, 192.0645751953125]]]
[[[255.1315460205078, 244.63059997558594]], [[369.40631103515625, 192.04879760742188]]]
[[[255.02024841308594, 245.3909454345703]], [[368.7958068847656, 187.8990478515625]]]
[[[255.66848754882812, 245.15493774414062]], [[366.4479675292969, 193.58526611328125]]]
[[[255.66549682617188, 245.1501007080078]], [[366.45672607421875, 193.5936279296875]]]
[[[253.60482788085938, 244.37208557128906]], [[365.4204406738281, 186.3274688720703]]]
[[[254.55368041992188, 241.3167266845703]], [[361.7806701660156, 190.38706970214844]]]
[[[254.59805297851562, 241.34339904785156]], [[361.72491455078125, 190.36651611328125]]]
[[[255.115478515625, 240.25779724121094]], [[362.87615966796875, 184.28253173828125]]]
[[[255.49781799316406, 241.73345947265625]], [[360.23455810546875, 195.47821044921875]]]
[[[255.4853057861328, 241.70484924316406]], [[360.2351989746094, 195.4791717529297]]]
[[[256.52874755859375, 245.37344360351562]], [[357.8272705078125, 191.98780822753906]]]
[[[256.9325866699219, 243.61207580566406]], [[357.44781494140625, 195.6063232421875]]]
[[[257.099853515625, 243.6110382080078]], [[357.45074462890625, 195.60867309570312]]]
[[[257.4183349609375, 240.69357299804688]], [[357.15509033203125, 189.46311950683594]]]
[[[258.0064697265625, 242.0632781982422]], [[359.3605041503906, 186.7102813720703]]]
[[[258.04974365234375, 242.09371948242188]], [[359.3334045410156, 186.6964569091797]]]
[[[258.9127197265625, 242.18417358398438]], [[362.3117980957031, 175.80117797851562]]]
[[[259.6578369140625, 244.79165649414062]], [[362.85943603515625, 176.90676879882812]]]
[[[259.654296875, 244.79537963867188]], [[362.86407470703125, 176.9138641357422]]]
[[[259.26727294921875, 243.94544982910156]], [[363.97418212890625, 173.70144653320312]]]
[[[260.01495361328125, 244.3604736328125]], [[363.7004089355469, 178.64366149902344]]]
[[[259.93743896484375, 244.3285675048828]], [[363.722900390625, 178.66152954101562]]]
[[[260.249755859375, 245.40728759765625]], [[364.1355895996094, 182.08872985839844]]]
[[[260.2742919921875, 243.43527221679688]], [[364.9989013671875, 181.14630126953125]]]
[[[260.28997802734375, 243.4275360107422]], [[364.9712219238281, 181.13058471679688]]]
[[[260.0741882324219, 243.19252014160156]], [[362.82379150390625, 186.81590270996094]]]
[[[260.11590576171875, 243.92294311523438]], [[364.6999206542969, 182.31451416015625]]]
[[[260.11865234375, 243.90847778320312]], [[364.7020568847656, 182.31167602539062]]]
[[[260.0684814453125, 242.8660888671875]], [[366.1617736816406, 181.1220245361328]]]
[[[260.3385009765625, 244.28271484375]], [[366.114013671875, 179.720703125]]]
[[[260.3160705566406, 244.2673797607422]], [[366.118896484375, 179.72230529785156]]]
[[[260.42950439453125, 242.84542846679688]], [[366.3544921875, 182.67127990722656]]]
[[[260.4702453613281, 241.92605590820312]], [[365.7946472167969, 179.7755126953125]]]
[[[260.469482421875, 241.9232940673828]], [[365.8185119628906, 179.77627563476562]]]
