[[[300.0, 303.0]], [[368.0, 285.0]]]
[[[300.1099548339844, 303.5788879394531]], [[367.5346984863281, 284.6954040527344]]]
[[[299.4283142089844, 303.72088623046875]], [[364.93316650390625, 285.42120361328125]]]
[[[299.64599609375, 302.9142761230469]], [[362.4091796875, 285.70172119140625]]]
[[[298.59234619140625, 302.4004821777344]], [[359.896240234375, 286.8996276855469]]]
[[[298.43072509765625, 302.7850646972656]], [[357.93927001953125, 288.3583679199219]]]
[[[298.408447265625, 302.5279846191406]], [[357.1917419433594, 289.24285888671875]]]
[[[298.4752197265625, 302.9913635253906]], [[355.6136474609375, 289.2957763671875]]]
[[[298.8384094238281, 302.5721740722656]], [[353.9234924316406, 289.1091003417969]]]
[[[298.7469787597656, 302.9931945800781]], [[351.158203125, 289.6661376953125]]]
[[[299.1066589355469, 303.365234375]], [[348.6048889160156, 290.45159912109375]]]
[[[299.1098937988281, 303.4945983886719]], [[346.5478515625, 291.793701171875]]]
[[[298.3447570800781, 304.92364501953125]], [[343.41339111328125, 293.80731201171875]]]
[[[298.0478820800781, 306.3233337402344]], [[344.0216369628906, 293.5048522949219]]]
[[[298.2902526855469, 308.6497802734375]], [[345.8487854003906, 292.87908935546875]]]
[[[295.2589416503906, 308.3038635253906]], [[347.88934326171875, 291.8786315917969]]]
[[[290.2469482421875, 306.7964172363281]], [[348.9967346191406, 291.7725524902344]]]
[[[284.7176513671875, 305.2431335449219]], [[349.1559753417969, 290.848388671875]]]
[[[279.3312072753906, 305.13818359375]], [[350.0885925292969, 290.7447814941406]]]
[[[269.1789245605469, 302.7568359375]], [[349.36669921875, 291.6886901855469]]]
[[[265.6876525878906, 301.19281005859375]], [[349.4466247558594, 292.6617431640625]]]
[[[266.29217529296875, 301.852294921875]], [[349.29168701171875, 292.6636962890625]]]
[[[266.8443908691406, 299.61676025390625]], [[349.73828125, 292.623779296875]]]
[[[267.0700378417969, 299.73956298828125]], [[349.89080810546875, 292.6703186035156]]]
[[[271.57244873046875, 301.4984436035156]], [[349.7568054199219, 292.5165710449219]]]
[[[274.1579895019531, 302.0459899902344]], [[349.8814697265625, 292.4578552246094]]]
[[[275.0631408691406, 302.5505676269531]], [[350.0802001953125, 292.21636962890625]]]
[[[274.1681823730469, 302.2321472167969]], [[349.3350524902344, 292.56640625]]]
[[[276.3633117675781, 303.02056884765625]], [[349.9431457519531, 292.08367919921875]]]
[[[276.4361572265625, 302.9960632324219]], [[349.00665283203125, 291.60009765625]]]
[[[277.3126525878906, 303.67474365234375]], [[349.24169921875, 291.6865234375]]]
[[[279.18231201171875, 304.58642578125]], [[349.33831787109375, 291.590576171875]]]
[[[278.29119873046875, 302.9555969238281]], [[349.763427734375, 292.8403625488281]]]
[[[277.85931396484375, 302.5560302734375]], [[349.7843933105469, 292.7143249511719]]]
[[[276.4111328125, 301.14227294921875]], [[349.684326171875, 292.54949951171875]]]
[[[276.9772033691406, 300.7156066894531]], [[350.0985107421875, 292.4048767089844]]]
[[[277.2738342285156, 300.6114196777344]], [[350.10772705078125, 292.0240783691406]]]
[[[277.74993896484375, 300.39752197265625]], [[350.5412292480469, 291.95819091796875]]]
[[[278.1037292480469, 299.90087890625]], [[350.4815673828125, 290.9532470703125]]]
[[[278.4461975097656, 299.8790588378906]], [[350.4794006347656, 290.94256591796875]]]
[[[279.0574035644531, 299.9239196777344]], [[351.1311950683594, 290.45220947265625]]]
[[[279.1160583496094, 299.7229309082031]], [[351.1164855957031, 290.061767578125]]]
[[[277.7158508300781, 299.0472106933594]], [[351.4136657714844, 289.6796569824219]]]
[[[277.12353515625, 298.6385498046875]], [[350.9272766113281, 289.25177001953125]]]
[[[276.76458740234375, 298.591796875]], [[351.4741516113281, 289.562744140625]]]
[[[276.2583923339844, 297.9506530761719]], [[351.1998596191406, 288.7398681640625]]]
[[[275.96783447265625, 297.7652893066406]], [[351.42529296875, 288.2454528808594]]]
[[[275.59344482421875, 297.615478515625]], [[351.343017578125, 287.70526123046875]]]
[[[274.74188232421875, 297.1575012207031]], [[350.29119873046875, 285.75274658203125]]]
[[[274.3890075683594, 296.8664855957031]], [[348.2563171386719, 284.0211181640625]]]
[[[274.55487060546875, 297.9901428222656]], [[347.5576477050781, 282.37890625]]]
[[[276.801025390625, 299.4441223144531]], [[344.1450500488281, 281.4892578125]]]
[[[276.0496826171875, 300.2203369140625]], [[337.6788024902344, 277.50946044921875]]]
[[[274.6545715332031, 300.4226379394531]], [[340.2858581542969, 281.45111083984375]]]
[[[272.84442138671875, 300.160400390625]], [[344.5028381347656, 289.6747131347656]]]
[[[272.3854675292969, 300.0234069824219]], [[345.9664611816406, 293.2226867675781]]]
[[[269.53436279296875, 298.32977294921875]], [[348.2449645996094, 300.1439514160156]]]
[[[269.58331298828125, 298.6179504394531]], [[346.07763671875, 303.544189453125]]]
[[[266.6199645996094, 298.2070617675781]], [[340.6107177734375, 309.4468994140625]]]
[[[265.7876892089844, 298.3869934082031]], [[334.5648498535156, 309.0063171386719]]]
[[[264.1140441894531, 296.8922424316406]], [[337.236328125, 312.41925048828125]]]
[[[264.0097961425781, 296.29095458984375]], [[335.95684814453125, 314.33026123046875]]]
[[[262.18707275390625, 294.7228088378906]], [[336.3274230957031, 315.1246337890625]]]
[[[262.782958984375, 295.206787109375]], [[337.2205505371094, 314.2042541503906]]]
[[[264.0948181152344, 294.9318542480469]], [[336.9728088378906, 313.5926513671875]]]
[[[263.9087219238281, 294.7680358886719]], [[336.40106201171875, 313.91217041015625]]]
[[[264.333251953125, 296.26507568359375]], [[329.5321350097656, 314.0281982421875]]]
[[[264.3020324707031, 296.36175537109375]], [[327.10089111328125, 313.6495666503906]]]
[[[265.2917785644531, 296.58489990234375]], [[325.66900634765625, 311.63031005859375]]]
[[[265.4561462402344, 296.1119079589844]], [[323.1502990722656, 304.8045349121094]]]
[[[265.3486022949219, 295.2879638671875]], [[322.6747131347656, 304.6782531738281]]]
[[[265.6069030761719, 294.9316101074219]], [[321.91534423828125, 304.2231140136719]]]
[[[266.1340637207031, 295.55242919921875]], [[321.1329650878906, 302.36529541015625]]]
[[[266.0517883300781, 295.71478271484375]], [[321.4721374511719, 301.48333740234375]]]
